Statut & inventaire des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type d'immobilisation :;Section analystique :;Statut :;Type de demande de modification du fichier des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables immatriculables (IMA);7500;Cmd en cours;Mise en service immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables dénombrable (DEN);7510;Cmd réceptionné - Attente de mise en service;Cession - Vente de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
Immo Analysables (VAL) ;7520;Mise en service;Mise au rebut de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;7540;Perdu;Transfert d'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Rebuté;-;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Vendu;-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°CAB;"Code Projet
(CAPEX)";"N° d'immo / 
Nom fond de dossier";Type d'immo;Fournisseur;Code article;Désignation;Description;N° de série;No CMD;Section analytique;Zone;Localisation;Qté;PU;Montant Cde dans la devise de transaction;Date OA;Date livr.;Date mise en service;Date sortie;Statut;BL;Facture;Type de demande de modification du fichier des immobilisations :;Decription du code projet;Propriétaire;Immatriculé ?;Colonne1
Z10036;22015465;Z10036_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;46SLVQ3;5016342;;BE;BE;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10037;22015465;Z10037_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;4PPJVQ3;5016342;;APPRO;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10038;22015465;Z10038_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;56SLVQ3;5016342;;APPRO;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10039;22015465;Z10039_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;5PPJVQ3;5016342;;USINAGE;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10040;22015465;Z10040_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;66SLVQ3;5016342;;Sous ensemble;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10041;22015465;Z10041_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;6PPJVQ3;5016342;;jauges NSTD;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10042;22015465;Z10042_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;76SLVQ3;5016342;;Sous ensemble;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10043;22015465;Z10043_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;7PPJVQ3;5016342;;APPRO;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10044;22015465;Z10044_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;86SLVQ3;5016342;;DUCT;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10045;22015465;Z10045_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;8PPJVQ3;5016342;;EXPIDITION;SC;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
Z10046;22015465;Z10046_22015465_5016342;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO ;;96SLVQ3;5016342;;Sonde;PRO;1,00;;;;16/08/2022;;;;;;;Moyens & infra IT;;Immatriculé;
