Statut & inventaire des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type d'immobilisation :;Section analystique :;Statut :;Type de demande de modification du fichier des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables immatriculables (IMA);7500;Cmd en cours;Mise en service immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables dénombrable (DEN);7510;Cmd réceptionné - Attente de mise en service;Cession - Vente de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
Immo Analysables (VAL) ;7520;Mise en service;Mise au rebut de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;7540;Perdu;Transfert d'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Rebuté;-;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Vendu;-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°CAB;"Code Projet
(CAPEX)";"N° d'immo / 
Nom fond de dossier";Type d'immo;Fournisseur;Code article;Désignation;Description;N° de série;No CMD;Section analytique;Zone;Localisation;Qté;PU;Montant Cde dans la devise de transaction;Date OA;Date livr.;Date mise en service;Date sortie;Statut;BL;Facture;Type de demande de modification du fichier des immobilisations :;Decription du code projet;Propriétaire;Immatriculé ?;Colonne1
Z20851;23017380;Z20851_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20852;23017380;Z20852_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20853;23017380;Z20853_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20854;23017380;Z20854_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20855;23017380;Z20855_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20856;23017380;Z20856_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20857;23017380;Z20857_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20858;23017380;Z20858_23017380_5040114;immo inventoriables dénombrable (DEN);DDM SA;;wireless cisco dna on-prem essential 3y term lic;;;5040114;;;;1,00;1735,00;;05/04/2023;05/06/2023;;;;;;;Borne WIFI + Server;;;
Z20859;22016877;Z20859_22016877_5040124;immo inventoriables immatriculables (IMA);SMEF;;Holex trusquin vertical;;;5040124;;DUCT;PRODUCTION;1,00;1654,50;;05/04/2023;17/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20860;22016877;Z20860_22016877_5040129;immo inventoriables immatriculables (IMA);FIBLAN;;support moniteur bras unique;;;5040129;;;PROD;1,00;799,00;;05/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20861;22016877;Z20861_22016877_5040129;immo inventoriables immatriculables (IMA);FIBLAN;;support moniteur bras unique;;;5040129;;;DUCT;1,00;799,00;;05/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20862;22016877;Z20862_22016877_5040129;immo inventoriables immatriculables (IMA);FIBLAN;;support moniteur bras unique;;;5040129;;;DUCT;1,00;799,00;;05/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20863;22016877;Z20863_22016877_5040129;immo inventoriables immatriculables (IMA);FIBLAN;;support moniteur bras unique;;;5040129;;;DUCT;1,00;799,00;;05/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20864;22016877;Z20864_22016877_5040129;immo inventoriables immatriculables (IMA);FIBLAN;;support moniteur bras unique;;;5040129;;;DUCT;1,00;799,00;;05/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20865;23017380;Z20865_23017380_5040130;immo inventoriables immatriculables (IMA);MICRODATA;;power EDGE R650xS;;;5040130;;SERVER ROOM;IT;1,00;78431,00;;05/04/2023;17/05/2023;;;;;;;Borne WIFI + Server;;;
Z21144;23017774;Z21144_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21145;23017774;Z21145_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21146;23017774;Z21146_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21147;23017774;Z21147_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z20870;22016877;Z20870_22016877_5040303;immo inventoriables immatriculables (IMA);C.F.I.M.U;;CAGOULE DE SOUDEUR AUTOMATIQUE OPTREL;;;5040303;;DUCT;PRODUCTION;1,00;4100,00;;07/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20871;22016877;Z20871_22016877_5040303;immo inventoriables immatriculables (IMA);C.F.I.M.U;;CAGOULE DE SOUDEUR AUTOMATIQUE OPTREL;;;5040303;;DUCT;PRODUCTION;1,00;4100,00;;07/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20872;22016877;Z20872_22016877_5040303;immo inventoriables immatriculables (IMA);C.F.I.M.U;;CAGOULE DE SOUDEUR AUTOMATIQUE OPTREL;;;5040303;;DUCT;PRODUCTION;1,00;4100,00;;07/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20873;22016877;Z20873_22016877_5040303;immo inventoriables immatriculables (IMA);C.F.I.M.U;;CAGOULE DE SOUDEUR AUTOMATIQUE OPTREL;;;5040303;;DUCT;PRODUCTION;1,00;4100,00;;07/04/2023;12/04/2023;;;;;;;"Investissement moyen transfert DUCT CMP
Disqueuse
meuleuse (zézette)
Lapidaire
Affuteuse";;;
Z20874;23017395;Z20874_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;14CLBX3;5040393;;sous ensemble;PRO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20875;23017395;Z20875_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;24CLBX3;5040393;;USINAGE;PRO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20876;23017395;Z20876_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;33CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20877;23017395;Z20877_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;34CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20878;23017395;Z20878_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;43CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20879;23017395;Z20879_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;44CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20880;23017395;Z20880_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;53CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20881;23017395;Z20881_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;54CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20882;23017395;Z20882_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;63CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20883;23017395;Z20883_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;64CLBX3;5040393;;MRO;PRO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20884;23017395;Z20884_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;73CLBX3;5040393;;RAPHAIL;SUPPORT;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20885;23017395;Z20885_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;83CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20886;23017395;Z20886_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;74CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20887;23017395;Z20887_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;84CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20888;23017395;Z20888_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;93CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20889;23017395;Z20889_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;94CLBX3;5040393;;MRO;PRO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20890;23017395;Z20890_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;B3CLBX3;5040393;;RH;RH;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20891;23017395;Z20891_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;B4CLBX3;5040393;;EXPIDITION;SC;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20892;23017395;Z20892_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;C3CLBX3;5040393;;BE;QUALITE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20893;23017395;Z20893_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;C4CLBX3;5040393;;;PRO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20894;23017395;Z20894_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;D3CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20895;23017395;Z20895_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;F3CLBX3;5040393;;IT;IT;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20896;23017395;Z20896_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;F4CLBX3;5040393;;BARHIM THABIT;METHO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20897;23017395;Z20897_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;G3CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20898;23017395;Z20898_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;G4CLBX3;5040393;;MRO;PRO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20899;23017395;Z20899_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;H3CLBX3;5040393;;YASSINE EDDARHOUMI;METHO;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20900;23017395;Z20900_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;J3CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z20901;23017395;Z20901_23017395_5040393;immo inventoriables immatriculables (IMA);MICRODATA;;OPTIPLEX 5400 ALL-IN-ONE;;D4CLBX3;5040393;;BE;BE;1,00;11281,00;;11/04/2023;07/06/2023;;;;;;;PC fixe (Increase) - 28 PC AIO;;;
Z21148;23017774;Z21148_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21149;23017774;Z21149_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21150;23017774;Z21150_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21151;23017774;Z21151_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21152;23017774;Z21152_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21153;23017774;Z21153_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21154;23017774;Z21154_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21155;23017774;Z21155_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21156;23017774;Z21156_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21157;23017774;Z21157_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21158;23017774;Z21158_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21159;23017774;Z21159_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21160;23017774;Z21160_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21161;23017774;Z21161_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21162;23017774;Z21162_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21163;23017774;Z21163_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21164;23017774;Z21164_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21165;23017774;Z21165_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21166;23017774;Z21166_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21167;23017774;Z21167_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21168;23017774;Z21168_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21169;23017774;Z21169_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21170;23017774;Z21170_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21171;23017774;Z21171_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21172;23017774;Z21172_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21173;23017774;Z21173_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21174;23017774;Z21174_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21175;23017774;Z21175_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21176;23017774;Z21176_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21177;23017774;Z21177_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21178;23017774;Z21178_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21179;23017774;Z21179_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21180;23017774;Z21180_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21181;23017774;Z21181_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21182;23017774;Z21182_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21183;23017774;Z21183_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21184;23017774;Z21184_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21185;23017774;Z21185_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21186;23017774;Z21186_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21187;23017774;Z21187_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21188;23017774;Z21188_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21189;23017774;Z21189_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
Z21190;23017774;Z21190_23017774_5050074;immo inventoriables immatriculables (IMA);MULTEK SARL AU;;fourniture des armatures LED 150W 6500K SAVYALIGHT;;;5050074;;;Zone Oxy + Raize;1,00;878,00;;07/09/2023;02/10/2023;;;;;;;Salle Grise;;;
